品牌,车型,日期,销售量
本田,思铂睿,2009-08-01,791
本田,思铂睿,2009-09-01,3700
本田,思铂睿,2009-10-01,2448
本田,思铂睿,2009-11-01,2309
本田,思铂睿,2009-12-01,2752
本田,思铂睿,2010-01-01,2000
本田,思铂睿,2010-02-01,900
本田,思铂睿,2010-03-01,2090
本田,思铂睿,2010-04-01,2113
本田,思铂睿,2010-05-01,1582
本田,思铂睿,2010-06-01,1628
本田,思铂睿,2010-07-01,1548
本田,思铂睿,2010-08-01,1517
本田,思铂睿,2010-09-01,2015
本田,思铂睿,2010-10-01,1541
本田,思铂睿,2010-11-01,1393
本田,思铂睿,2010-12-01,6690
本田,思铂睿,2011-01-01,2112
本田,思铂睿,2011-02-01,1111
本田,思铂睿,2011-03-01,1855
本田,思铂睿,2011-04-01,1908
本田,思铂睿,2011-05-01,1204
本田,思铂睿,2011-06-01,1203
本田,思铂睿,2011-07-01,1268
本田,思铂睿,2011-08-01,1268
本田,思铂睿,2011-09-01,1922
本田,思铂睿,2011-10-01,1830
本田,思铂睿,2011-11-01,1005
本田,思铂睿,2011-12-01,690
本田,思铂睿,2012-01-01,1965
本田,思铂睿,2012-02-01,2034
本田,思铂睿,2012-03-01,1014
本田,思铂睿,2012-04-01,1034
本田,思铂睿,2012-05-01,1600
本田,思铂睿,2012-06-01,1573
本田,思铂睿,2012-07-01,680
本田,思铂睿,2012-08-01,740
本田,思铂睿,2012-09-01,108
本田,思铂睿,2012-10-01,10
本田,思铂睿,2012-11-01,592
本田,思铂睿,2012-12-01,1067
本田,思铂睿,2013-01-01,721
本田,思铂睿,2013-02-01,477
本田,思铂睿,2013-03-01,819
本田,思铂睿,2013-04-01,911
本田,思铂睿,2013-05-01,639
本田,思铂睿,2013-06-01,699
本田,思铂睿,2013-07-01,293
本田,思铂睿,2013-08-01,459
本田,思铂睿,2013-09-01,365
本田,思铂睿,2013-10-01,469
本田,思铂睿,2013-11-01,635
本田,思铂睿,2013-12-01,975
本田,思铂睿,2014-01-01,854
本田,思铂睿,2014-02-01,429
本田,思铂睿,2014-03-01,348
本田,思铂睿,2014-04-01,411
本田,思铂睿,2014-05-01,351
本田,思铂睿,2014-06-01,248
本田,思铂睿,2014-07-01,4
本田,思铂睿,2014-11-01,802
本田,思铂睿,2014-12-01,2336
本田,思铂睿,2015-01-01,1224
本田,思铂睿,2015-02-01,594
本田,思铂睿,2015-03-01,1410
本田,思铂睿,2015-04-01,1835
本田,思铂睿,2015-05-01,2135
本田,思铂睿,2015-06-01,1676
本田,思铂睿,2015-07-01,1546
本田,思铂睿,2015-08-01,1396
本田,思铂睿,2015-09-01,2533
本田,思铂睿,2015-10-01,2811
本田,思铂睿,2015-11-01,2413
本田,思铂睿,2015-12-01,3382
本田,思铂睿,2016-01-01,2006
本田,思铂睿,2016-02-01,845
本田,思铂睿,2016-03-01,1848
本田,思铂睿,2016-04-01,1847
本田,思铂睿,2016-05-01,2194
本田,思铂睿,2016-06-01,1973
本田,思铂睿,2016-07-01,1798
本田,思铂睿,2016-08-01,1664
本田,思铂睿,2016-09-01,1923
本田,思铂睿,2016-10-01,2334
本田,思铂睿,2016-11-01,2385
本田,思铂睿,2016-12-01,2670
本田,思铂睿,2017-02-01,1772
本田,思铂睿,2017-03-01,2540
本田,思铂睿,2017-04-01,826
本田,思铂睿,2017-05-01,869
本田,思铂睿,2017-06-01,3560
本田,思铂睿,2017-07-01,1751
本田,思铂睿,2017-08-01,1798
本田,思铂睿,2017-09-01,1827
本田,思铂睿,2017-11-01,1618
本田,思铂睿,2017-12-01,1266
本田,思铂睿,2018-01-01,958
本田,思铂睿,2018-02-01,1059
本田,思铂睿,2018-03-01,1393
本田,思铂睿,2018-04-01,1557
本田,思铂睿,2018-05-01,1559
本田,思铂睿,2018-06-01,1079
本田,思铂睿,2018-07-01,882
本田,思铂睿,2018-08-01,1171
东风风度,MX5,2017-01-01,654
东风风度,MX5,2017-03-01,365
东风风度,MX5,2017-04-01,133
东风风度,MX5,2017-05-01,58
东风风度,MX5,2017-08-01,160
东风风度,MX5,2017-09-01,875
东风风度,MX5,2017-10-01,662
东风风度,MX5,2017-11-01,1021
东风风度,MX5,2017-12-01,1003
东风风度,MX5,2018-01-01,306
东风风度,MX5,2018-02-01,6
宝马,X1,2013-01-01,1201
宝马,X1,2013-02-01,582
宝马,X1,2013-03-01,1533
宝马,X1,2013-04-01,2074
宝马,X1,2013-05-01,2411
宝马,X1,2013-06-01,2249
宝马,X1,2013-07-01,1942
宝马,X1,2013-08-01,1556
宝马,X1,2013-09-01,2637
宝马,X1,2013-10-01,1683
宝马,X1,2013-11-01,2517
宝马,X1,2013-12-01,1977
宝马,X1,2014-01-01,3555
宝马,X1,2014-02-01,2615
宝马,X1,2014-03-01,3895
宝马,X1,2014-04-01,4711
宝马,X1,2014-05-01,3968
宝马,X1,2014-06-01,3343
宝马,X1,2014-07-01,3855
宝马,X1,2014-08-01,4454
宝马,X1,2014-09-01,3628
宝马,X1,2014-10-01,4048
宝马,X1,2014-11-01,4394
宝马,X1,2014-12-01,4253
宝马,X1,2015-01-01,4482
宝马,X1,2015-02-01,2682
宝马,X1,2015-03-01,3359
宝马,X1,2015-04-01,3032
宝马,X1,2015-05-01,2944
宝马,X1,2015-06-01,2855
宝马,X1,2015-07-01,3120
宝马,X1,2015-08-01,3423
宝马,X1,2015-09-01,3967
宝马,X1,2015-10-01,3635
宝马,X1,2015-11-01,3829
宝马,X1,2015-12-01,3918
宝马,X1,2016-01-01,7533
宝马,X1,2016-02-01,2195
宝马,X1,2016-03-01,1113
宝马,X1,2016-04-01,12
宝马,X1,2016-05-01,2474
宝马,X1,2016-06-01,4371
宝马,X1,2016-07-01,5818
宝马,X1,2016-08-01,5769
宝马,X1,2016-09-01,6479
宝马,X1,2016-10-01,5434
宝马,X1,2016-11-01,7130
宝马,X1,2016-12-01,6586
宝马,X1,2017-01-01,6823
宝马,X1,2017-02-01,5263
宝马,X1,2017-03-01,6636
宝马,X1,2017-04-01,6817
宝马,X1,2017-05-01,9124
宝马,X1,2017-06-01,8061
宝马,X1,2017-07-01,7451
宝马,X1,2017-08-01,8916
宝马,X1,2017-09-01,8254
宝马,X1,2017-10-01,6668
宝马,X1,2017-11-01,8759
宝马,X1,2017-12-01,8526
宝马,X1,2018-01-01,9984
宝马,X1,2018-02-01,6639
宝马,X1,2018-03-01,7817
宝马,X1,2018-04-01,8415
宝马,X1,2018-05-01,8524
宝马,X1,2018-06-01,6350
