招聘岗位,工作职责,工作要求
PCG09-信息流合作策划产品经理,基于信息流的流量特点与能力，负责与合作伙伴、多业务团队的合作方案策划与落地；\n管理合作需求、用户需求和运营需求的优先级和平衡；对合作需求的数据效果进行跟踪评估，持续迭代及运营；\n洞察行业趋势，了解玩法，善于发现新的合作机会,本科或以上学历，互联网产品经验至少1年；\n擅长合作沟通，具备良好的项目管理能力；\n逻辑思维清晰，产品的策划和运营sense良好，熟悉数据分析方法，具有决策能力
CSIG17-地图数据评测,1.针对客户关注的热点区域或者头部城市数据进行规范性的评测；\n2.结合现实客观存在，针对数据，制定不限于道路数据、兴趣点、公交等数据评测目标和方法；\n3.根据评测结果进行综合数据分析并输出专业的评测报告；\n4.对现有评测体系进行优化和升级，使之始终保持与产品端上功能升级的数据体验同步；\n5.跟进地图未来发展趋势，研发新型评测体系方案。,1.大学本科以上学历\n2.三年以上互联网地图产品、数据生产或评测工作。\n3. 对LBS领域有浓厚兴趣，对用户数据敏感，逻辑思维能力强.\n4.有较强的数据分析能力。\n5.有较强的项目管理能力。\n6.有一定抗压能力，自驱力、有较强责任心和团队协作精神。\n7.有驾照，会驾驶
30628-腾讯广告大数据后台开发高级工程师（研发中心-北京）,负责广告在线预估服务的架构设计和开发，支持高并发，高可用，低延迟；\n负责广告平台用户画像线上系统的开发和维护；\n负责高可用的任务调度系统开发，支持各种离线任务的分发和调度；,重点大学本科以上学历，计算机相关专业；\n两年以上相关工作经验，精通算法与数据结构，精通c++编程语言；\n有扎实的编程功底和编码习惯，以及良好的分析解决问题能力;\n熟悉机器学习框架和分布式系统，熟悉tensorflow等机器学习框架者优先;\n积极主动，有责任心，勇于接受挑战。
21087-游戏版本管理（深圳）,负责手游产品技术接入工作、版本管理工作、对各阶段版本质量及排期负责；\n负责推进研发商按时按质完成版本内容、平台接入、tlog、运营功能等开发工作；\n跟进版本测试验收、版本部署、版本发布等版本流程各环节工作；\n负责游戏环境、游戏生态维护及舆情监控相关工作。\n,本科及以上学历，有较强的逻辑思维能力； \n有3年以上网络游戏工作经验，1年以上版本模块工作经验，熟悉游戏开发或运营流程，能独立规划和协调平台各个模块成员的开发工作； \n积极主动，沟通能力强，能够在复杂的环境中推进项目前进，具备优秀的自我驱动力、团队协作能力及跨部门协作推动力； \n具备一定的英文听、说、读、写能力。\n
TEG03-终端开发工程师,职位描述：\n\n负责项目所需要的移动端（SDK、App、开发者工具）的开发及维护；\n\n负责重大或疑难问题的技术攻关；\n\n对新技术预研，并能主动思考与产品的结合方向，推动技术工具的演进，及研发团队文化建设。\n\n\n\n,工作要求：\n\n熟练掌握Java/Kotlin，掌握常用Native层Framework的实现原理；\n\n具备较好的沟通能力，富有团队精神和敬业精神，具有较强的自学能力；\n\n具有iOS平台开发经验者优先。
TEG03-数据挖掘工程师（深圳）,通过海量数据对用户广告的行为进行深入分析与洞察，提炼和发现业务规律，指导推荐模型特征构建，定位产品相关的数据问题及分析优化；\r\n结合广告投放场景和用户画像进行badcase分析、归纳统计指标建设，协助模型快速定位问题。,计算机、数学、统计、数据挖掘等相关专业本科及以上学历；\r\n1年以上互联网、IT相关工作背景及数据分析挖掘相关工作经验；\r\n熟悉统计原理及检验方法、熟悉数据分析方法；\r\n熟悉分类、回归、聚类、降维等机器学习算法及应用场景；\r\n熟悉Linux、Shell、R/Python，Hadoop/Spark等，能独立完成相关的数据分析及分析报告相关工作；\r\n有互联网推荐领域相关工作经验更优。
TEG01-自然语言处理工程师（深圳）,参与智能客服平台建设，提供基础的自然语言处理解决方案；\n应用深度学习模型对文本信息进行语义处理，负责深度模型的训练和调优；\n结合业务实际，探索智能客服领域领先的技术解决方案。\n,模式识别与自然语言处理相关方向计算机专业，硕士及以上学历；\n在智能客服、聊天机器人等方向有三年以上实际项目经验；\n在如下领域有丰富经验：文本分类、多轮对话、关系抽取、实体识别等；\n有较强的算法分析和实现能力，熟练掌握c/c++/java/python，有linux开发经验；\n熟悉Tensorflow或Pytorch，深入理解LSTM、Attention、Word2Vec、ELMO、Bert等基本模型；\n优秀的分析和解决问题能力，勇于挑战，对数据敏感，有强烈的好奇心，良好的团队精神。\n
TEG01-C++后台开发工程师（深圳）,责客服后台服务研发工作； \r\n参与现网问题定位和解决工作；\r\n跟进后台服务研发运维工作。,计算机或相关专业本科及以上学历；\r\n3年以上相关工作经验；\r\n精通C/C++语言，熟悉设计模式、开发规范；\r\n熟悉TCP/IP协议、进程间通讯编程，熟悉Linux下常用架构设计方法；\r\n熟悉Linux操作系统原理及常用工具，熟练使用shell、python脚本；\r\n熟悉Mysql等关系数据库，熟悉Redis等NoSQL存储；\r\n正直，责任心强，具有良好沟通和团队协作能力，主动，好学；\r\n具备良好的分析解决问题能力。
TEG01-前端开发工程师（小程序）,负责部门网站、运营平台Web前端、小程序等设计、开发和实现；\n负责代码、工程及技术体系的建立及完善，帮助团队成员进步及成长,本科及以上学历，计算机相关专业优先，3年以上前端工作经验；\n精通javascript，有面向对象，模块化开发的设计思想；\n熟悉常见的JS开发框架，至少熟练使用Vue或React中一种框架，有移动端开发经验、服务器端开发经验者优先；\n熟悉HTML5、CSS3，有SASS 或 LESS 和 移动端页面重构开发经验优先；\n思路清晰，具备良好的沟通能力和团队协作精神。\n
18428-银行业务测试工程师（深圳）,负责金融科技和移动支付方面的功能、性能、安全等测试工作，挑战如微信红包等海量业务系统。负责微信支付，QQ钱包等平台级支付产品的系统测试工作，参与项目研发全流程。\n\n1. 参与软件项目的需求分析，关注项目需求的合理性，可测性； \n2. 参与重大产品需求和架构设计评审，保证产品设计与架构的合理性； \n3. 设计合理的测试用例，并能参与到具体的测试执行工作中，跟进缺陷的fix、质量复核，能引入比较好的思想和方法，保证产品的质量； \n4. 参与自动化用例的编写，设计\u0026参与产品的性能、安全测试，解决测试过程中的复杂技术问题； \n5. 根据产品研发的实际情况，改进or设计软件质量保证体系，并推动落地实施； \n6. 通过测试相关流程、策略、方法和工具等创新，提升测试的质量和效率； ,1. 工科、计算机或其他相关专业本科以上学历； \n2. 具有3-5年以上软件开发和测试经验，能快速熟悉理解业务，有负责带领进行大型项目测试经验； \n3. 掌握or熟悉c++、java编程，熟悉mysql等db，有互联网行业从业经验； \n4. 有自动化测试经验，能独立设计用例并编写代码实现自动化测试； \n5. 具备撰写自动化测试工具以及搭建自动化测试平台的实战经验者优先； \n6. 有产品性能、安全等测试经验，掌握基本的性能测试及产品安全知识； \n7. 熟练使用linux操作系统，具有基本python或shell等脚本编写能力；
